"","mod_0 vs mod_1","mod_0 vs mod_2","mod_0 vs mod_3","mod_0 vs mod_4","mod_0 vs mod_5","mod_0 vs mod_6","mod_0 vs mod_7","mod_0 vs mod_8","mod_0 vs mod_9","mod_1 vs mod_2","mod_1 vs mod_3","mod_1 vs mod_4","mod_1 vs mod_5","mod_1 vs mod_6","mod_1 vs mod_7","mod_1 vs mod_8","mod_1 vs mod_9","mod_2 vs mod_3","mod_2 vs mod_4","mod_2 vs mod_5","mod_2 vs mod_6","mod_2 vs mod_7","mod_2 vs mod_8","mod_2 vs mod_9","mod_3 vs mod_4","mod_3 vs mod_5","mod_3 vs mod_6","mod_3 vs mod_7","mod_3 vs mod_8","mod_3 vs mod_9","mod_4 vs mod_5","mod_4 vs mod_6","mod_4 vs mod_7","mod_4 vs mod_8","mod_4 vs mod_9","mod_5 vs mod_6","mod_5 vs mod_7","mod_5 vs mod_8","mod_5 vs mod_9","mod_6 vs mod_7","mod_6 vs mod_8","mod_6 vs mod_9","mod_7 vs mod_8","mod_7 vs mod_9","mod_8 vs mod_9"
"chr0:0-3300",0.137003633205639,0.073524802209807,0.0603367700743801,0.0881673691577505,0.20993916502487,0.0930333674015716,0.221000440917616,0.0781279942443273,0.0793625930379818,0.151243712977762,0.107377293146636,0.125897342346879,0.152837752826471,0.146216265651666,0.20704289259693,0.156060394577792,0.159556343555782,0.139436683982243,0.0526769316779514,0.237735444751698,0.0865075540778151,0.114035839928802,0.0509268388812302,0.148588780211924,0.0928454982074677,0.166692386529842,0.10111996357024,0.170673454190312,0.1009108166115,0.0778644644482443,0.207460535839176,0.109991497801441,0.105917318959652,0.104986646042005,0.136581376221409,0.119050116678926,0.236903639450733,0.302432327874406,0.223431517398376,0.202228478166642,0.0924194324262158,0.144637685574785,0.147278210388106,0.211186704265312,0.108815849515322
"chr1:0-3300",0.163098074329359,0.125041192210802,0.0943460899723454,0.167680729230291,0.181552104782349,0.13030796422451,0.112869971595402,0.0720563082777718,0.0802911884052079,0.0404160913854129,0.0827286790279009,0.214511694313782,0.140531742450494,0.136465641750236,0.101948999989103,0.0766228136502225,0.125283732121497,0.126105886174946,0.133804717076975,0.134979290667143,0.11272107848305,0.212469322473552,0.184425942950005,0.159047505709039,0.147952033560347,0.114624297557558,0.182327812752677,0.124911235493882,0.112689676760536,0.0779906104544159,0.155273862807032,0.140268769902338,0.132930043324689,0.189587443953284,0.0992689590496871,0.193223938857253,0.104863216251111,0.0946240721366208,0.0457460187133472,0.105708675896347,0.168057152351528,0.129402992999742,0.0607693957755806,0.128109509988814,0.136012994324654
"chr2:0-3300",0.194182644402092,0.0981742440619615,0.191833381296794,0.192139817380983,0.126251959124142,0.0766443657121045,0.11774461925158,0.176160778970592,0.0748758897827159,0.13421753524838,0.198529418061149,0.194914915347274,0.157575541477494,0.16463573650045,0.168841822049635,0.231504810357247,0.166880870076865,0.18532201934164,0.220707291348925,0.0778345425948657,0.0673796268594004,0.131247672845798,0.213335397226796,0.167006788002547,0.321947825419942,0.205917769811972,0.203812248512053,0.0868358883515866,0.263757405643116,0.208457231701341,0.161347848317049,0.155603362307367,0.218923910240593,0.176922336994133,0.239910381118748,0.0831497910782198,0.108901994930376,0.183555101500797,0.117036457506803,0.173095057686514,0.136702962723003,0.0753632214443784,0.157824270810063,0.107363416598943,0.209769502080166
"chr3:0-3300",0.0571022593524566,0.152317730302953,0.133082313398594,0.095491998070686,0.219513646229437,0.15780675457004,0.129562505135376,0.241891619896569,0.188675111201589,0.151225188879768,0.0641223236511815,0.170940052646941,0.127642766302383,0.106601345064822,0.13842616913988,0.337628858374751,0.12331878920395,0.119020056528471,0.0756774501472288,0.0980814127365766,0.274896751289823,0.15852105812095,0.414320736223094,0.112317555392311,0.105314556954201,0.0829448095612529,0.220375813001694,0.128223336820564,0.30464072255601,0.0868481255771225,0.164792052566324,0.236430916636905,0.248819668341151,0.271861968262714,0.154298314991364,0.139234386531971,0.205329025953803,0.269937194916779,0.104221384285786,0.130040662826035,0.226801566639329,0.172391800766878,0.288389022737244,0.223135448014157,0.313851501542301
"chr4:0-3300",0.192532600322629,0.0828743204778713,0.0526524141845747,0.178087387907227,0.176799611046568,0.238641786177996,0.116321508711215,0.198623105815433,0.107478567213601,0.188173077052765,0.156252055136285,0.2361943231396,0.2308331365929,0.0597444909462621,0.146441466519003,0.201642172322812,0.11399146246782,0.176323694652972,0.152028631371009,0.217180730985099,0.136632422828151,0.12383856535132,0.146537815184343,0.0975690897978731,0.146312086749442,0.12664886378017,0.140550204826011,0.171807575684478,0.176348622680008,0.139331345442015,0.145587008600139,0.203612481089457,0.196942561906905,0.213111998735945,0.191148570169614,0.252786221542823,0.268150030429785,0.336000220782884,0.214416867217366,0.0933387026465906,0.1600182272285,0.154229876607129,0.0832234889684715,0.19471538464617,0.164942849462657
"chr5:0-3300",0.162553547811745,0.118905055738524,0.0673183842381017,0.0791839642440474,0.110195855469775,0.190059481073254,0.0780799925873413,0.112690871898788,0.150892726875004,0.0929015586305194,0.134535975383192,0.15613714043186,0.14149175006102,0.161215037064089,0.212473294235608,0.164804824351122,0.295983351563197,0.217710837108124,0.206541701506393,0.115928900044816,0.0709346251405858,0.148776936988554,0.0846105964108431,0.146752947931906,0.12125791076816,0.117158354826584,0.10654854740684,0.0720781793258956,0.136030555149669,0.199163967827722,0.128701414637634,0.0891457779828412,0.17118444313642,0.219895393694782,0.0896868174965663,0.224893112734216,0.139307006012913,0.0712422043749286,0.193221288463925,0.160394796861456,0.208575118877196,0.180514603303209,0.119760003406554,0.252404447411266,0.249815342002881
"chr6:0-3300",0.10515507519363,0.118252640734264,0.168144163936514,0.1757907985135,0.0829647726414665,0.0949305439372005,0.117351959418725,0.243170756279058,0.0864472010878957,0.128268647216229,0.144112883378898,0.125324180378465,0.194280621425983,0.222502774999754,0.0954180252136789,0.273535387100912,0.127578454399217,0.0793697308044478,0.0958285034776457,0.163280467935899,0.11257676704223,0.0948001642600202,0.127587501645351,0.129995804471035,0.0889939779737851,0.139769334340762,0.0769369033851492,0.0533119448814707,0.174272396300153,0.178024153546762,0.159029942560973,0.157111229163254,0.124244775853214,0.127960613478372,0.101594468002737,0.082486319686276,0.177821842950731,0.26485160661105,0.181157480466438,0.0799667799047168,0.166339176419989,0.176648797616266,0.110614404733627,0.113740951521058,0.183751258557408
"chr7:0-3300",0.162300124866803,0.234771079185747,0.172850977926388,0.221901449331228,0.132385494467846,0.0784265889084496,0.226997601095664,0.163309486395164,0.157159795649582,0.229964348286429,0.0710221382113605,0.18005602171314,0.0540659796839678,0.105308780642022,0.12453615150938,0.10462902861848,0.127528137182423,0.183445323871048,0.138094627473974,0.240954266712358,0.155056574684072,0.206579685417388,0.152963291291982,0.180928216578314,0.105766515711806,0.116594718869269,0.0843963496523514,0.190495405432718,0.110513248315526,0.0978213918365785,0.150312352111678,0.106803265858557,0.0674548348730595,0.117618107751016,0.0476252741543979,0.0809691646774685,0.213633621171722,0.183959005413942,0.125838768351816,0.177186500029819,0.0836694392850547,0.0916097501431797,0.15093396125815,0.0966428004619017,0.0943839927337748
"chr8:0-3300",0.104410872264335,0.129455538214729,0.178394550100009,0.168961026449317,0.0951562291217369,0.168458327460327,0.192011652632106,0.213050128845624,0.134873046617913,0.126410163031554,0.0767542566075659,0.0781931201956424,0.117825611296293,0.192891109123669,0.147803518508119,0.128995457868745,0.151954022685773,0.135830132061311,0.169117695505801,0.151261918053219,0.241827077549573,0.0868780755705572,0.245714801266447,0.216933967192668,0.108176323995356,0.163135057467295,0.141273853110247,0.100561000575508,0.0810896525379191,0.163863795994753,0.160474993028386,0.100290609205682,0.0820251671457906,0.190040702864904,0.172058474613491,0.213789701777244,0.186315725136803,0.238788367245491,0.128687519281065,0.180005018205533,0.137489965090888,0.148562028050436,0.171015382996897,0.187357789809034,0.237018595741885
"chr9:0-3300",0.267072563814618,0.286925677622987,0.232514840553816,0.20876289302217,0.13689875039597,0.2018854451666,0.243566629481926,0.324675406844808,0.147559493921897,0.181042947615934,0.117207271983478,0.164442932461708,0.117546561806375,0.179449223002898,0.200835455439264,0.196439215321885,0.162374380323312,0.150547535145312,0.165062560168694,0.182796239010681,0.19799126686566,0.162851892266009,0.119516779982558,0.238037846564291,0.103334673488552,0.120246314093087,0.190037218042619,0.234361959737771,0.158117242331419,0.181014235041932,0.203278698374567,0.225051303661375,0.254063797816875,0.351200969775812,0.182814683934238,0.180332304547784,0.16232739447511,0.236330290416377,0.118914130616298,0.125706744822404,0.0856019258673269,0.164401893955073,0.210596553361481,0.119146229660828,0.192806895290393
